Title,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6,64000,118,adventure
Twisters,6.5,169000,122,adventure
Gladiator II,6.5,231000,148,adventure
Moana 2,6.6,102000,100,adventure
Flow,7.9,75000,85,adventure
Sonic the Hedgehog 3,6.9,60000,110,adventure
Kraven the Hunter,5.5,55000,127,adventure
Deadpool & Wolverine,7.6,493000,128,adventure
Paddington in Peru,6.7,21000,106,adventure
Dune: Part Two,8.5,625000,166,adventure
Venom: The Last Dance,6.0,118000,110,adventure
The Count of Monte-Cristo,7.6,35000,178,adventure
Freaky Tales,6.7,2000,107,adventure
Furiosa: A Mad Max Saga,7.5,285000,148,adventure
Transformers One,7.6,51000,104,adventure
Borderlands,4.7,48000,101,adventure
The Return,6.2,8700,116,adventure
Despicable Me 4,6.2,66000,94,adventure
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,4300,91,adventure
Madame Web,4.0,101000,116,adventure
Inside Out 2,7.5,217000,96,adventure
The Lord of the Rings: The War of the Rohirrim,6.3,31000,134,adventure
Bad Boys: Ride or Die,6.5,100000,115,adventure
Red One,6.3,140000,123,adventure
Solo Leveling: ReAwakening,8.8,12000,121,adventure
Love Lies Bleeding,6.6,57000,104,adventure
Damsel,6.1,110000,110,adventure
Godzilla x Kong: The New Empire,6.0,122000,115,adventure
Ghostbusters: Frozen Empire,6.1,94000,115,adventure
Kingdom of the Planet of the Apes,6.9,152000,145,adventure
Spaceman,5.7,43000,107,adventure
Kung Fu Panda 4,6.3,68000,94,adventure
Survive,4.5,2600,90,adventure
Uglies,4.7,33000,100,adventure
The Garfield Movie,5.7,24000,101,adventure
My Penguin Friend,6.7,5200,97,adventure
Harold and the Purple Crayon,5.7,8400,90,adventure
Attack on Titan the Movie: The Last Attack,9.2,16000,145,adventure
Atlas,5.6,56000,118,adventure
Descendants: The Rise of Red,4.7,7100,91,adventure
Monster Summer,5.7,3700,97,adventure
Wallace & Gromit: Vengeance Most Fowl,7.5,35000,82,adventure
Kalki 2898 AD,7.0,67000,180,adventure
Spellbound,5.5,7400,109,adventure
Arthur the King,7.0,34000,107,adventure
Night of the Zoopocalypse,6.0,683,91,adventure
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,adventure
Hitpig,5.1,952,86,adventure
Thelma the Unicorn,5.7,3000,93,adventure
Family Pack,5.5,9100,94,adventure
The Best Christmas Pageant Ever,6.8,6100,99,adventure
No Way Up,4.6,11000,90,adventure
Buffalo Kids,6.6,698,93,adventure
Megamind vs. The Doom Syndicate,2.5,5600,83,adventure
The Unholy Trinity,7.9,55,93,adventure
Orion and the Dark,6.3,17000,93,adventure
Bookworm,6.0,1900,103,adventure
Lost on a Mountain in Maine,6.1,1200,98,adventure
The Goat Life,7.1,47000,173,adventure
Winner,6.5,2500,103,adventure
The Courier,6.0,4400,101,adventure
Sasquatch Sunset,5.4,5400,88,adventure
Hanu Man,7.7,29000,158,adventure
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93,adventure
River of Blood,5.2,1800,86,adventure
"I, the Executioner",6.4,1800,118,adventure
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94,adventure
Badland Hunters,5.9,12000,107,adventure
The Last of Us: Immunity,5.0,20,64,adventure
My Hero Academia: You're Next,7.0,2200,110,adventure
That Christmas,6.8,17000,91,adventure
Raqa,5.5,223,107,adventure
Ultraman: Rising,6.9,6400,117,adventure
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104,adventure
The Price of Money: A Largo Winch Adventure,5.0,1200,100,adventure
Manjummel Boys,8.2,27000,135,adventure
Something in the Water,4.1,4700,86,adventure
Woody Woodpecker Goes to Camp,4.5,2600,100,adventure
No Chains No Masters,6.4,559,98,adventure
The Wages of Fear,4.6,4100,104,adventure
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3900,82,adventure
The Empire,5.2,1200,110,adventure
Anaconda,4.9,637,84,adventure
Doraemon the Movie: Nobita's Earth Symphony,6.6,1500,115,adventure
Cult Killer,4.8,2800,105,adventure
Chuck Billy and the Marvelous Guava Tree,7.4,1000,90,adventure
Dragonkeeper,5.7,1700,98,adventure
Justice League: Crisis on Infinite Earths - Part Two,5.5,5400,94,adventure
Eat the Night,6.1,487,106,adventure
200% Wolf,5.9,1300,98,adventure
Angels Fallen: Warriors of Peace,4.9,5800,103,adventure
Sixty Minutes,5.7,5200,88,adventure
Saint-Exupéry,5.4,336,98,adventure
The Twisters,2.5,341,86,adventure
Escape,6.4,2000,94,adventure
The Tiger's Apprentice,5.7,2200,84,adventure
Golden Kamuy,6.3,2600,127,adventure
Overlord: The Sacred Kingdom,6.9,1000,135,adventure
Bambi: A Tale of Life in the Woods,5.7,178,78,adventure
Operation Blood Hunt,3.4,489,93,adventure
Panda Bear in Africa,5.5,349,84,adventure
Autumn and the Black Jaguar,5.6,1000,100,adventure
Bade Miyan Chote Miyan,3.7,39000,163,adventure
